Ref_ID,Simulation_Voc,Simulation_Jsc,Simulation_PCE,Simulation_FF,JV_default_Voc,JV_default_Jsc,JV_default_PCE,JV_default_FF
20,1.021990e+00,-2.862159e+02,2.028508e+01,6.934836e-01,0.913,15.77,10.0,0.7
22,1.018846e+00,-3.278008e+02,2.538835e+01,7.601793e-01,1.06,19.2,13.3,0.654
23,1.018846e+00,-3.278008e+02,2.538835e+01,7.601793e-01,1.09,21.2,16.2,0.701
24,1.018846e+00,-3.278008e+02,2.538835e+01,7.601793e-01,1.1,21.53,17.2,0.727
25,1.018846e+00,-3.278008e+02,2.538835e+01,7.601793e-01,1.07,21.08,15.0,0.665
26,1.018846e+00,-3.278008e+02,2.538835e+01,7.601793e-01,1.06,19.2,13.3,0.654
27,1.018846e+00,-3.278008e+02,2.538835e+01,7.601793e-01,1.1,21.53,17.2,0.727
72,1.021338e+00,-2.552844e+02,1.839718e+01,7.055982e-01,1.12,20.3,16.1,0.71
89,1.021665e+00,-2.831034e+02,2.011130e+01,6.953228e-01,1.0,20.0,13.0,0.65
90,1.021665e+00,-2.831034e+02,2.011130e+01,6.953228e-01,1.1,23.0,17.2,0.68
91,1.021665e+00,-2.831034e+02,2.011130e+01,6.953228e-01,1.1,22.0,15.0,0.62
169,1.021488e+00,-2.814182e+02,2.001644e+01,6.963078e-01,1.05,21.76,17.42,0.762
170,1.021488e+00,-2.814182e+02,2.001644e+01,6.963078e-01,1.03,20.84,15.92,0.74
171,1.021488e+00,-2.814182e+02,2.001644e+01,6.963078e-01,0.98,20.99,14.09,0.6779999999999999
267,9.851425e-01,-2.779205e+02,2.031818e+01,7.421047e-01,1.1,21.95,17.87,0.74
268,9.851425e-01,-2.779205e+02,2.031818e+01,7.421047e-01,1.08,17.04,12.72,0.69
297,1.022387e+00,-2.900568e+02,2.050515e+01,6.914560e-01,1.01,20.47,14.41,0.6970000000000001
391,1.022387e+00,-2.900568e+02,2.050515e+01,6.914560e-01,0.888,23.908,14.16,0.667
411,1.010764e+00,-2.366972e+02,1.699361e+01,7.103011e-01,1.07,22.41,16.02,0.67
412,1.010764e+00,-2.366972e+02,1.699361e+01,7.103011e-01,1.07,22.78,17.37,0.71
413,1.010764e+00,-2.366972e+02,1.699361e+01,7.103011e-01,1.091,22.8,18.67,0.75
414,1.010764e+00,-2.366972e+02,1.699361e+01,7.103011e-01,1.103,23.54,19.7,0.76
415,1.010764e+00,-2.366972e+02,1.699361e+01,7.103011e-01,1.101,22.52,18.33,0.74
416,1.010764e+00,-2.366972e+02,1.699361e+01,7.103011e-01,1.07,22.65,17.75,0.73
475,1.008589e+00,-2.562254e+02,2.012844e+01,7.788856e-01,0.96,12.89,6.75,0.54
529,1.017452e+00,-2.855807e+02,2.244388e+01,7.724229e-01,1.05,20.68,15.33,0.7
853,1.022215e+00,-2.883835e+02,2.040725e+01,6.922641e-01,1.03,20.5,13.84,0.626
854,1.022215e+00,-2.883835e+02,2.040725e+01,6.922641e-01,1.06,21.4,16.16,0.6829999999999999
855,1.022215e+00,-2.883835e+02,2.040725e+01,6.922641e-01,1.01,18.5,13.05,0.6509999999999999
856,1.022215e+00,-2.883835e+02,2.040725e+01,6.922641e-01,1.01,18.4,13.07,0.644
918,1.023095e+00,-2.967414e+02,2.318474e+01,7.636742e-01,1.04,20.43,15.73,0.74
919,1.023095e+00,-2.967414e+02,2.318474e+01,7.636742e-01,1.072,21.02,17.09,0.758
923,1.105538e+00,-3.294883e+02,2.679765e+01,7.356699e-01,0.98,21.1,13.1,0.635
924,1.105538e+00,-3.294883e+02,2.679765e+01,7.356699e-01,1.01,21.8,14.7,0.6679999999999999
