Ref_ID,Simulation_Voc,Simulation_Jsc,Simulation_PCE,Simulation_FF
20,1.021990e+00,28.621589999999998,2.028508e+01,6.934836e-01
22,1.018846e+00,32.78008,2.538835e+01,7.601793e-01
23,1.018846e+00,32.78008,2.538835e+01,7.601793e-01
24,1.018846e+00,32.78008,2.538835e+01,7.601793e-01
25,1.018846e+00,32.78008,2.538835e+01,7.601793e-01
26,1.018846e+00,32.78008,2.538835e+01,7.601793e-01
27,1.018846e+00,32.78008,2.538835e+01,7.601793e-01
72,1.021338e+00,25.52844,1.839718e+01,7.055982e-01
89,1.021665e+00,28.310340000000004,2.011130e+01,6.953228e-01
90,1.021665e+00,28.310340000000004,2.011130e+01,6.953228e-01
91,1.021665e+00,28.310340000000004,2.011130e+01,6.953228e-01
